name|owner|language|stargazerCount|createdAt|amountYear|isOld
material-design-icons|google|não encontrado|51175|2014-10-08T18:01:28Z|-10|true
Semantic-UI|Semantic-Org|JavaScript|51157|2013-04-08T23:32:04Z|-11|true
rich|Textualize|Python|51021|2019-11-10T15:28:09Z|-5|true
anime|juliangarnier|JavaScript|50956|2016-03-13T21:37:45Z|-8|true
ripgrep|BurntSushi|Rust|50783|2016-03-11T02:02:33Z|-8|true
pi-hole|pi-hole|Shell|50716|2014-06-08T15:02:55Z|-10|true
zustand|pmndrs|TypeScript|50627|2019-04-09T09:10:06Z|-5|true
guava|google|Java|50561|2014-05-29T16:23:17Z|-10|true
minio|minio|Go|50516|2015-01-14T19:23:58Z|-10|true
uBlock|gorhill|JavaScript|50234|2015-04-01T17:51:11Z|-9|true
grok-1|xai-org|Python|50195|2024-03-17T08:53:38Z|0|false
langflow|langflow-ai|Python|50178|2023-02-08T22:28:03Z|-2|false
kotlin|JetBrains|Kotlin|50096|2012-02-13T17:29:58Z|-13|true
prettier|prettier|JavaScript|50052|2016-11-29T17:13:37Z|-8|true
pdf.js|mozilla|JavaScript|49928|2011-04-26T06:32:03Z|-13|true
Docker-OSX|sickcodes|Shell|49842|2020-06-04T11:01:37Z|-4|false
github-cheat-sheet|tiimgreen|não encontrado|49758|2014-04-12T16:38:42Z|-10|true
dive|wagoodman|Go|49698|2018-05-13T15:44:01Z|-6|true
jekyll|jekyll|Ruby|49680|2008-10-20T06:29:03Z|-16|true
bulma|jgthms|CSS|49618|2016-01-23T23:48:34Z|-9|true
meilisearch|meilisearch|Rust|49540|2018-04-23T11:45:28Z|-6|true
astro|withastro|TypeScript|49498|2021-03-15T17:19:47Z|-3|false
clash-verge-rev|clash-verge-rev|TypeScript|49314|2023-11-21T18:24:03Z|-1|false
DefinitelyTyped|DefinitelyTyped|TypeScript|49307|2012-10-05T16:39:45Z|-12|true
rclone|rclone|Go|49136|2014-03-16T16:19:57Z|-10|true
