name|owner|language|stargazerCount|createdAt|amountYear|isOld
segment-anything|facebookresearch|Jupyter Notebook|49122|2023-03-23T17:03:03Z|-1|false
awesome-rust|rust-unofficial|Rust|49015|2014-07-17T10:45:10Z|-10|true
core|vuejs|TypeScript|49013|2018-06-12T13:49:36Z|-6|true
trackerslist|ngosang|não encontrado|48873|2016-04-24T11:57:57Z|-8|true
chinese-poetry|chinese-poetry|JavaScript|48759|2016-09-02T03:32:25Z|-8|true
marktext|marktext|JavaScript|48726|2017-11-12T16:05:25Z|-7|true
MetaGPT|geekan|Python|48717|2023-06-30T09:04:55Z|-1|false
OpenHands|All-Hands-AI|Python|48638|2024-03-13T03:33:31Z|0|false
etcd|etcd-io|Go|48546|2013-07-06T21:57:21Z|-11|true
Ghost|TryGhost|JavaScript|48532|2013-05-04T11:09:13Z|-11|true
go-ethereum|ethereum|Go|48506|2013-12-26T13:05:46Z|-11|true
awesome-ios|vsouza|Swift|48355|2014-07-10T16:03:45Z|-10|true
cypress|cypress-io|TypeScript|48279|2015-03-04T00:46:28Z|-10|true
powerlevel10k|romkatv|Shell|48159|2019-02-24T19:09:45Z|-6|true
FFmpeg|FFmpeg|C|48130|2011-04-14T14:12:38Z|-13|true
moment|moment|JavaScript|48081|2011-03-01T02:46:06Z|-14|true
RxJava|ReactiveX|Java|48031|2013-01-08T20:11:48Z|-12|true
hacker-scripts|NARKOZ|JavaScript|48031|2015-11-21T19:05:09Z|-9|true
joplin|laurent22|TypeScript|47961|2017-01-16T21:49:41Z|-8|true
mastodon|mastodon|Ruby|47854|2016-02-22T15:01:25Z|-9|true
hiring-without-whiteboards|poteto|JavaScript|47612|2017-03-15T05:09:01Z|-7|true
dayjs|iamkun|JavaScript|47504|2018-04-10T09:26:44Z|-6|true
appwrite|appwrite|TypeScript|47481|2019-04-08T16:36:25Z|-5|true
llm-course|mlabonne|Jupyter Notebook|47389|2023-06-17T22:16:25Z|-1|false
professional-programming|charlax|Python|47378|2015-11-07T05:07:52Z|-9|true
gitea|go-gitea|Go|47369|2016-11-01T02:13:26Z|-8|true
starship|starship|Rust|47353|2019-04-02T03:23:12Z|-5|true
ImHex|WerWolv|C++|47295|2020-11-10T14:27:00Z|-4|false
algorithm-visualizer|algorithm-visualizer|JavaScript|47181|2016-05-15T00:27:45Z|-8|true
first-contributions|firstcontributions|não encontrado|47080|2016-09-20T14:35:09Z|-8|true
big-list-of-naughty-strings|minimaxir|Python|46985|2015-08-08T20:57:20Z|-9|true
PaddleOCR|PaddlePaddle|Python|46915|2020-05-08T10:38:16Z|-4|false
awesome-wechat-weapp|justjavac|não encontrado|46868|2016-09-22T20:04:48Z|-8|true
Motrix|agalwood|JavaScript|46828|2018-12-18T11:45:05Z|-6|true
alist|AlistGo|Go|46742|2020-12-23T17:40:29Z|-4|false
PowerShell|PowerShell|C#|46637|2016-01-13T23:41:35Z|-9|true
serverless|serverless|JavaScript|46604|2015-04-21T03:48:40Z|-9|true
100-Days-Of-ML-Code|Avik-Jain|não encontrado|46592|2018-07-05T09:11:43Z|-6|true
julia|JuliaLang|Julia|46507|2011-04-21T07:01:50Z|-13|true
AFFiNE|toeverything|TypeScript|46183|2022-07-31T18:45:21Z|-2|false
okhttp|square|Kotlin|46181|2012-07-23T13:42:55Z|-12|true
design-patterns-for-humans|kamranahmedse|não encontrado|46036|2017-02-16T21:24:39Z|-8|true
react|typescript-cheatsheets|JavaScript|45980|2018-06-02T04:08:16Z|-6|true
learn-regex|ziishaned|não encontrado|45923|2017-07-22T12:21:03Z|-7|true
Projects|karan|não encontrado|45870|2013-07-04T13:37:27Z|-11|true
v2ray-core|v2ray|Go|45806|2015-09-04T11:42:53Z|-9|true
x64dbg|x64dbg|C++|45535|2015-04-11T20:48:23Z|-9|true
gogs|gogs|Go|45532|2014-02-12T01:57:08Z|-11|true
huginn|huginn|Ruby|45068|2013-03-10T06:00:31Z|-11|true
30-Days-Of-Python|Asabeneh|Python|44847|2019-11-19T17:24:16Z|-5|true
architecture-samples|android|Kotlin|44801|2016-02-05T13:42:07Z|-9|true
quill|slab|TypeScript|44750|2012-07-30T23:23:18Z|-12|true
pandas|pandas-dev|Python|44744|2010-08-24T01:37:33Z|-14|true
pixijs|pixijs|TypeScript|44647|2013-01-21T22:40:50Z|-12|true
json|nlohmann|C++|44604|2013-07-04T08:47:49Z|-11|true
meteor|meteor|JavaScript|44583|2012-01-19T01:58:17Z|-13|true
jest|jestjs|TypeScript|44570|2013-12-10T00:18:04Z|-11|true
type-challenges|type-challenges|TypeScript|44569|2020-07-23T14:33:11Z|-4|false
AdminLTE|ColorlibHQ|Astro|44393|2013-12-25T02:52:40Z|-11|true
